rgn_id,habitat,health
1,seaice_edge,1
2,seaice_edge,1
3,seaice_edge,1
4,seaice_edge,1
5,seaice_edge,0.796114147
6,seaice_edge,0.306659783
7,seaice_edge,0.041608877
8,seaice_edge,0.678366618
9,seaice_edge,0.851338489
1,seaice_shoreline,0.85556667
2,seaice_shoreline,0.984853244
3,seaice_shoreline,0.959773779
4,seaice_shoreline,0.888087631
5,seaice_shoreline,0.60629392
6,seaice_shoreline,0.383838384
8,seaice_shoreline,0.844035665
9,seaice_shoreline,0.941845909
1,soft_bottom,1
2,soft_bottom,1
3,soft_bottom,1
4,soft_bottom,1
5,soft_bottom,1
6,soft_bottom,0.768049064
7,soft_bottom,0.817858002
8,soft_bottom,0.992495772
9,soft_bottom,1
