rgn_id,habitat,km2
1,coral,3968.92
1,rocky_reef,55055
1,soft_bottom,2035180
1,mangrove,1447.704175
1,mangrove_inland1km,648.780965
1,mangrove_offshore,125.096159
1,seaice_edge,177455.018939394
1,seaice_shoreline,73177.0833333333
1,saltmarsh,15747
1,seagrass,17906
2,mangrove_inland1km,0
2,saltmarsh,440
2,mangrove_offshore,0
2,rocky_reef,4860.51
2,mangrove,0
2,seaice_edge,502488.162878788
2,seaice_shoreline,700056.818181818
2,soft_bottom,2721990
2,seagrass,3.493
3,mangrove_inland1km,0
3,saltmarsh,440
3,mangrove_offshore,0
3,rocky_reef,4860.51
3,mangrove,0
3,seaice_edge,502488.162878788
3,seaice_shoreline,700056.818181818
3,soft_bottom,2721990
3,seagrass,3.493
4,mangrove_inland1km,0
4,seagrass,668.91
4,rocky_reef,736.15
4,mangrove,0
4,seaice_edge,690066.287878787
4,seaice_shoreline,472734.375
4,mangrove_offshore,0
4,soft_bottom,3804040
5,mangrove_offshore,0
5,mangrove,0
5,mangrove_inland1km,0
5,rocky_reef,749.249
5,soft_bottom,462488
5,seaice_edge,107528.409090909
5,seaice_shoreline,20828.5984848485
6,mangrove_offshore,0
6,mangrove,0
6,mangrove_inland1km,0
6,rocky_reef,749.249
6,soft_bottom,462488
6,seaice_edge,107528.409090909
6,seaice_shoreline,20828.5984848485
7,mangrove_offshore,0
7,mangrove,0
7,mangrove_inland1km,0
7,rocky_reef,749.249
7,soft_bottom,462488
7,seaice_edge,107528.409090909
7,seaice_shoreline,20828.5984848485
8,mangrove_offshore,0
8,mangrove,0
8,rocky_reef,11519.9
8,seaice_shoreline,135610.795454545
8,soft_bottom,402710
8,seaice_edge,241498.579545455
8,mangrove_inland1km,0
9,mangrove_offshore,0
9,mangrove,0
9,rocky_reef,11519.9
9,seaice_shoreline,135610.795454545
9,soft_bottom,402710
9,seaice_edge,241498.579545455
9,mangrove_inland1km,0
