rgn_id,sciname,popn_trend
1,Alopias vulpinus,decreasing
1,Balaena mysticetus,NA
1,Balaena mysticetus,increasing
1,Balaenoptera acutorostrata,stable
1,Balaenoptera borealis,unknown
1,Balaenoptera musculus,increasing
1,Balaenoptera physalus,unknown
1,Carcharhinus amblyrhynchos,unknown
1,Carcharhinus perezi,decreasing
1,Carcharodon carcharias,unknown
1,Caretta caretta,NA
1,Cetorhinus maximus,decreasing
1,Cetorhinus maximus,decreasing
1,Chelonia mydas,decreasing
1,Chelonia mydas,increasing
1,Dermochelys coriacea,increasing
1,Dermochelys coriacea,decreasing
1,Dermochelys coriacea,decreasing
1,Dermochelys coriacea,decreasing
1,Eretmochelys imbricata,decreasing
1,Eschrichtius robustus,stable
1,Eubalaena glacialis,unknown
1,Eubalaena japonica,unknown
1,Eubalaena japonica,unknown
1,Galeocerdo cuvier,unknown
1,Isurus oxyrinchus,decreasing
1,Isurus oxyrinchus,decreasing
1,Isurus oxyrinchus,decreasing
1,Isurus paucus,decreasing
1,Lamna nasus,decreasing
1,Lamna nasus,decreasing
1,Lepidochelys kempii,NA
1,Lepidochelys olivacea,decreasing
1,Megaptera novaeangliae,increasing
1,Prionace glauca,unknown
1,Rhincodon typus,decreasing
1,Triaenodon obesus,unknown
1,Ursus maritimus,decreasing
2,Alopias vulpinus,decreasing
2,Balaena mysticetus,NA
2,Balaena mysticetus,increasing
2,Balaenoptera acutorostrata,stable
2,Balaenoptera borealis,unknown
2,Balaenoptera musculus,increasing
2,Balaenoptera physalus,unknown
2,Cetorhinus maximus,decreasing
2,Cetorhinus maximus,decreasing
2,Dermochelys coriacea,increasing
2,Dermochelys coriacea,decreasing
2,Dermochelys coriacea,decreasing
2,Eschrichtius robustus,stable
2,Eubalaena glacialis,unknown
2,Eubalaena japonica,unknown
2,Isurus oxyrinchus,decreasing
2,Isurus oxyrinchus,decreasing
2,Lamna nasus,decreasing
2,Lamna nasus,decreasing
2,Megaptera novaeangliae,increasing
2,Prionace glauca,unknown
2,Ursus maritimus,decreasing
3,Alopias vulpinus,decreasing
3,Balaena mysticetus,NA
3,Balaena mysticetus,increasing
3,Balaenoptera acutorostrata,stable
3,Balaenoptera borealis,unknown
3,Balaenoptera musculus,increasing
3,Balaenoptera physalus,unknown
3,Cetorhinus maximus,decreasing
3,Cetorhinus maximus,decreasing
3,Dermochelys coriacea,increasing
3,Dermochelys coriacea,decreasing
3,Dermochelys coriacea,decreasing
3,Eschrichtius robustus,stable
3,Eubalaena glacialis,unknown
3,Eubalaena japonica,unknown
3,Isurus oxyrinchus,decreasing
3,Isurus oxyrinchus,decreasing
3,Lamna nasus,decreasing
3,Lamna nasus,decreasing
3,Megaptera novaeangliae,increasing
3,Prionace glauca,unknown
3,Ursus maritimus,decreasing
4,Balaena mysticetus,NA
4,Balaena mysticetus,unknown
4,Balaenoptera acutorostrata,stable
4,Balaenoptera borealis,unknown
4,Balaenoptera musculus,increasing
4,Balaenoptera physalus,unknown
4,Cetorhinus maximus,decreasing
4,Cetorhinus maximus,decreasing
4,Dermochelys coriacea,decreasing
4,Dermochelys coriacea,decreasing
4,Eschrichtius robustus,increasing
4,Eschrichtius robustus,stable
4,Eubalaena japonica,unknown
4,Isurus oxyrinchus,decreasing
4,Isurus oxyrinchus,decreasing
4,Lamna nasus,decreasing
4,Megaptera novaeangliae,increasing
4,Ursus maritimus,decreasing
5,Alopias vulpinus,decreasing
5,Balaenoptera acutorostrata,stable
5,Balaenoptera borealis,unknown
5,Balaenoptera musculus,increasing
5,Balaenoptera physalus,unknown
5,Cetorhinus maximus,decreasing
5,Cetorhinus maximus,decreasing
5,Eubalaena glacialis,unknown
5,Isurus oxyrinchus,decreasing
5,Isurus oxyrinchus,decreasing
5,Lamna nasus,decreasing
5,Megaptera novaeangliae,increasing
5,Prionace glauca,unknown
5,Ursus maritimus,decreasing
6,Alopias vulpinus,decreasing
6,Balaenoptera acutorostrata,stable
6,Balaenoptera borealis,unknown
6,Balaenoptera musculus,increasing
6,Balaenoptera physalus,unknown
6,Cetorhinus maximus,decreasing
6,Cetorhinus maximus,decreasing
6,Eubalaena glacialis,unknown
6,Isurus oxyrinchus,decreasing
6,Isurus oxyrinchus,decreasing
6,Lamna nasus,decreasing
6,Megaptera novaeangliae,increasing
6,Prionace glauca,unknown
6,Ursus maritimus,decreasing
7,Alopias vulpinus,decreasing
7,Balaenoptera acutorostrata,stable
7,Balaenoptera borealis,unknown
7,Balaenoptera musculus,increasing
7,Balaenoptera physalus,unknown
7,Cetorhinus maximus,decreasing
7,Cetorhinus maximus,decreasing
7,Eubalaena glacialis,unknown
7,Isurus oxyrinchus,decreasing
7,Isurus oxyrinchus,decreasing
7,Lamna nasus,decreasing
7,Megaptera novaeangliae,increasing
7,Prionace glauca,unknown
7,Ursus maritimus,decreasing
8,Balaena mysticetus,unknown
8,Balaena mysticetus,increasing
8,Balaenoptera acutorostrata,stable
8,Balaenoptera borealis,unknown
8,Balaenoptera musculus,increasing
8,Balaenoptera physalus,unknown
8,Cetorhinus maximus,decreasing
8,Eubalaena glacialis,unknown
8,Lamna nasus,decreasing
8,Lamna nasus,decreasing
8,Megaptera novaeangliae,increasing
8,Ursus maritimus,decreasing
9,Balaena mysticetus,unknown
9,Balaena mysticetus,increasing
9,Balaenoptera acutorostrata,stable
9,Balaenoptera borealis,unknown
9,Balaenoptera musculus,increasing
9,Balaenoptera physalus,unknown
9,Cetorhinus maximus,decreasing
9,Eubalaena glacialis,unknown
9,Lamna nasus,decreasing
9,Lamna nasus,decreasing
9,Megaptera novaeangliae,increasing
9,Ursus maritimus,decreasing
