rgn_id,habitat,extent_rank
1,coral,15875.68
1,mangrove,3095.508496
1,saltmarsh,47241
1,seagrass,17906
1,seaice_shoreline,292708.333333333
2,saltmarsh,1320
2,seagrass,3.493
2,seaice_shoreline,2800227.27272727
3,saltmarsh,1320
3,seagrass,3.493
3,seaice_shoreline,2800227.27272727
4,seagrass,668.91
4,seaice_shoreline,1890937.5
5,seaice_shoreline,83314.393939394
6,seaice_shoreline,83314.393939394
7,seaice_shoreline,83314.393939394
8,seaice_shoreline,542443.18181818
9,seaice_shoreline,542443.18181818
