sciname,iucn_sid,rgn_id,rgn_name
Actitis macularius,22693277,1,Alaska
Anas acuta,22680301,1,Alaska
Anser albifrons,22679881,1,Alaska
Anser caerulescens,22679896,1,Alaska
Anthus cervinus,22718560,1,Alaska
Anthus rubescens,22718575,1,Alaska
Ardenna tenuirostris,22698216,1,Alaska
Arenaria interpres,22693336,1,Alaska
Arenaria melanocephala,22693341,1,Alaska
Aythya fuligula,22680391,1,Alaska
Aythya marila,22680398,1,Alaska
Aythya valisineria,22680364,1,Alaska
Brachyramphus brevirostris,22694875,1,Alaska
Branta bernicla,22679946,1,Alaska
Calcarius lapponicus,22721033,1,Alaska
Calidris acuminata,22693414,1,Alaska
Calidris alba,22693369,1,Alaska
Calidris alpina,22693427,1,Alaska
Calidris bairdii,22693404,1,Alaska
Calidris canutus,22693363,1,Alaska
Calidris ferruginea,22693431,1,Alaska
Calidris fuscicollis,22693399,1,Alaska
Calidris mauri,22693376,1,Alaska
Calidris melanotos,22693408,1,Alaska
Calidris minutilla,22693396,1,Alaska
Calidris ptilocnemis,22693424,1,Alaska
Calidris pugnax,22693468,1,Alaska
Calidris pusilla,22693373,1,Alaska
Calidris ruficollis,22693383,1,Alaska
Calidris virgata,22693356,1,Alaska
Cepphus columba,22694864,1,Alaska
Cepphus grylle,22694861,1,Alaska
Charadrius semipalmatus,22693764,1,Alaska
Clangula hyemalis,22680427,1,Alaska
Eremophila alpestris,22717434,1,Alaska
Falco columbarius,22696453,1,Alaska
Falco peregrinus,45354964,1,Alaska
Fratercula cirrhata,22694934,1,Alaska
Fratercula corniculata,22694931,1,Alaska
Fulmarus glacialis,22697866,1,Alaska
Gavia adamsii,22697847,1,Alaska
Gavia arctica,22697834,1,Alaska
Gavia immer,22697842,1,Alaska
Gavia pacifica,22697839,1,Alaska
Gavia stellata,22697829,1,Alaska
Haliaeetus leucocephalus,22695144,1,Alaska
Histrionicus histrionicus,22680423,1,Alaska
Larus canus,22694308,1,Alaska
Larus hyperboreus,22694343,1,Alaska
Larus schistisagus,22694362,1,Alaska
Larus smithsonianus,62030590,1,Alaska
Limnodromus scolopaceus,22693348,1,Alaska
Limosa haemastica,22693154,1,Alaska
Limosa lapponica,22693158,1,Alaska
Luscinia svecica,22709707,1,Alaska
Mareca americana,22680163,1,Alaska
Melanitta americana,22732425,1,Alaska
Melanitta deglandi,22734194,1,Alaska
Melanitta perspicillata,22680441,1,Alaska
Mergus serrator,22680485,1,Alaska
Numenius phaeopus,22693178,1,Alaska
Oenanthe oenanthe,22710272,1,Alaska
Pagophila eburnea,22694473,1,Alaska
Pandion haliaetus,22694938,1,Alaska
Phalaropus fulicarius,22693494,1,Alaska
Phalaropus lobatus,22693490,1,Alaska
Plectrophenax hyperboreus,22721046,1,Alaska
Plectrophenax nivalis,22721043,1,Alaska
Pluvialis dominica,22693740,1,Alaska
Pluvialis fulva,22693735,1,Alaska
Pluvialis squatarola,22693749,1,Alaska
Polysticta stelleri,22680415,1,Alaska
Rhodostethia rosea,22694476,1,Alaska
Rissa tridactyla,22694497,1,Alaska
Somateria fischeri,22680412,1,Alaska
Somateria mollissima,22680405,1,Alaska
Somateria spectabilis,22680409,1,Alaska
Spatula clypeata,22680247,1,Alaska
Stercorarius longicaudus,22694251,1,Alaska
Stercorarius parasiticus,22694245,1,Alaska
Stercorarius pomarinus,22694240,1,Alaska
Sterna paradisaea,22694629,1,Alaska
Tringa flavipes,22693235,1,Alaska
Tringa incana,22693305,1,Alaska
Uria aalge,22694841,1,Alaska
Uria lomvia,22694847,1,Alaska
Phocoena phocoena,17027,1,Alaska
Histriophoca fasciata,41670,1,Alaska
Balaenoptera acutorostrata,2474,1,Alaska
Delphinapterus leucas,6335,1,Alaska
Odobenus rosmarus,15106,1,Alaska
Erignathus barbatus,8010,1,Alaska
Megaptera novaeangliae,13006,1,Alaska
Balaenoptera physalus,2478,1,Alaska
Eschrichtius robustus,8097,1,Alaska
Pusa hispida,41672,1,Alaska
Balaena mysticetus,2468,1,Alaska
Zostera marina,153538,1,Alaska
Ursus maritimus,22823,1,Alaska
Lontra canadensis,12302,1,Alaska
Vulpes lagopus,899,1,Alaska
Actitis macularius,22693277,2,Nunavut
Alle alle,22694837,2,Nunavut
Anas acuta,22680301,2,Nunavut
Anser albifrons,22679881,2,Nunavut
Anser caerulescens,22679896,2,Nunavut
Anthus rubescens,22718575,2,Nunavut
